Run,Sample,patient,x,y,AS_cluster,type
SRR7666600,PT089_P9_F03_S159,PT089,1.1567152,4.516145,0,Tumor
SRR7666624,PT089_P9_H05_S185,PT089,1.0875046,5.535239,0,Tumor
SRR7667146,PT084_P11_G04_S364,PT084,-7.5498204,4.587322,3,Tumor
SRR7666695,PT039_P11_G12_S84,PT039,9.304124,-6.233753,1,Tumor
SRR7667493,PT039_P10_E01_S241,PT039,6.5431366,10.528656,6,Tumor
SRR7666684,PT039_P11_F11_S71,PT039,9.081559,-4.2968097,1,Tumor
SRR7667329,PT126_P3_F12_S72,PT126,-10.365952,6.0342364,3,Tumor
SRR7666610,PT089_P9_G03_S171,PT089,2.5405903,6.791313,0,Tumor
SRR7666519,PT089_P7_F06_S66,PT089,5.2837353,2.355838,0,Tumor
SRR7667276,PT126_P3_A12_S12,PT126,-0.8005964,-5.6133823,6,Tumor
SRR7667379,PT039_P121_C02_S314,PT039,-12.479515,0.5368655,6,Tumor
SRR7667085,PT084_P11_B02_S302,PT084,-10.417405,2.756945,3,Tumor
SRR7666559,PT089_P9_B10_S118,PT089,0.37458473,4.541994,0,Tumor
SRR7666603,PT089_P9_F06_S162,PT089,3.3035634,5.0138717,0,Tumor
SRR7667470,PT039_P10_B12_S216,PT039,-6.7321324,5.4298325,3,Tumor
SRR7666623,PT089_P9_H04_S184,PT089,2.8475785,3.0504358,0,Tumor
SRR7666611,PT089_P9_G04_S172,PT089,3.415173,4.2787175,0,Tumor
SRR7666579,PT089_P9_D06_S138,PT089,3.2130756,5.8132987,0,Tumor
SRR7666727,PT039_P1_B11,PT039,18.279697,-9.149212,1,Tumor
SRR7666654,PT039_P11_C07_S31,PT039,10.020326,-4.918172,1,Tumor
SRR7666779,PT058_P1_A07,PT058,-5.741885,5.476661,3,Tumor
SRR7667489,PT039_P10_D09_S237,PT039,12.662994,-6.3210454,1,Tumor
SRR7666530,PT089_P7_G05_S77,PT089,1.2554238,2.8854392,0,Tumor
SRR7666550,PT089_P9_B01_S109,PT089,2.762884,3.7660666,0,Tumor
SRR7666608,PT089_P9_G01_S169,PT089,2.1878316,3.8418555,0,Tumor
SRR7666848,PT058_P1_H07,PT058,-1.5003532,5.6285233,3,Tumor
SRR7666578,PT089_P9_D05_S137,PT089,1.3859382,6.886008,0,Tumor
SRR7666458,PT089_P7_A03_S3,PT089,5.1816263,3.2598221,0,Tumor
SRR7666621,PT089_P9_H02_S182,PT089,6.4345303,3.2127209,0,Tumor
SRR7666739,PT039_P1_C11,PT039,13.348351,-5.7704544,1,Tumor
SRR7667302,PT126_P3_D05_S41,PT126,12.957159,10.406417,2,Tumor
SRR7666972,PT081_P3_E04_S244,PT081,-9.043217,1.5579497,3,Tumor
SRR7667304,PT126_P3_D08_S44,PT126,3.5293868,0.9795085,0,Tumor
SRR7666586,PT089_P9_E01_S145,PT089,1.9296708,6.4281173,0,Tumor
SRR7667352,PT126_P3_H11_S95,PT126,-3.1191983,-4.106365,6,Tumor
SRR7666595,PT089_P9_E10_S154,PT089,2.4749026,5.5355425,0,Tumor
SRR7666498,PT089_P7_D08_S44,PT089,1.6811198,3.432726,0,Tumor
SRR7667519,PT039_P10_G07_S271,PT039,11.090129,-8.1515665,1,Tumor
SRR7667472,PT039_P10_C03_S219,PT039,14.570768,-7.8315973,1,Tumor
SRR7666500,PT089_P7_D10_S46,PT089,5.5865593,4.0285287,0,Tumor
SRR7666540,PT089_P9_A03_S99,PT089,1.1185546,5.410911,0,Tumor
SRR7666629,PT089_P9_H10_S190,PT089,2.201409,5.462667,0,Tumor
SRR7666568,PT089_P9_C07_S127,PT089,0.6388082,4.768165,0,Tumor
SRR7666615,PT089_P9_G08_S176,PT089,5.8187356,16.799261,2,Tumor
